Date,Zone Name,No. of Camp,Nos Attended,No of ILI cases,ILI %
2020-06-14,THIRUVOTTIYUR,6,211,3,1%
2020-06-14,MANALI,2,105,2,2%
2020-06-14,MADHAVARAM,8,269,1,0%
2020-06-14,TONDIARPET,19,650,137,21%
2020-06-14,ROYAPURAM,65,3048,199,7%
2020-06-14,THIRU VI KA NAGAR,5,198,0,0%
2020-06-14,AMBATTUR,18,833,2,0%
2020-06-14,ANNA NAGAR,4,106,11,10%
2020-06-14,TEYNAMPET,22,1076,14,1%
2020-06-14,KODAMBAKKAM,24,1587,0,0%
2020-06-14,VALASARAVAKKAM,7,555,11,2%
2020-06-14,ALANDUR,0,0,0,0%
2020-06-14,ADYAR,9,868,8,1%
2020-06-14,PERUNGUDI,9,653,3,0%
2020-06-14,SOZHINGANALLUR,5,382,1,0%
2020-06-15,THIRUVOTTIYUR,14,564,10,2%
2020-06-15,MANALI,9,691,49,7%
2020-06-15,MADHAVARAM,11,471,2,0%
2020-06-15,TONDIARPET,29,1260,153,12%
2020-06-15,ROYAPURAM,72,3005,188,6%
2020-06-15,THIRU VI KA NAGAR,36,2437,35,1%
2020-06-15,AMBATTUR,23,1041,2,0%
2020-06-15,ANNA NAGAR,22,1095,67,6%
2020-06-15,TEYNAMPET,11,676,7,1%
2020-06-15,KODAMBAKKAM,14,2117,0,0%
2020-06-15,VALASARAVAKKAM,16,1751,13,1%
2020-06-15,ALANDUR,15,620,4,1%
2020-06-15,ADYAR,28,2174,13,1%
2020-06-15,PERUNGUDI,5,151,0,0%
2020-06-15,SOZHINGANALLUR,20,931,11,1%
2020-06-16,THIRUVOTTIYUR,13,593,10,2%
2020-06-16,MANALI,10,576,9,2%
2020-06-16,MADHAVARAM,13,619,3,0%
2020-06-16,TONDIARPET,35,1274,109,9%
2020-06-16,ROYAPURAM,63,2451,207,8%
2020-06-16,THIRU VI KA NAGAR,41,2751,16,1%
2020-06-16,AMBATTUR,23,1314,5,0%
2020-06-16,ANNA NAGAR,47,1804,42,2%
2020-06-16,TEYNAMPET,46,2750,22,1%
2020-06-16,KODAMBAKKAM,44,2577,36,1%
2020-06-16,VALASARAVAKKAM,33,2284,30,1%
2020-06-16,ALANDUR,24,1908,10,1%
2020-06-16,ADYAR,32,2725,23,1%
2020-06-16,PERUNGUDI,29,1941,12,1%
2020-06-16,SOZHINGANALLUR,25,2010,54,3%
2020-06-17,THIRUVOTTIYUR,17,1065,26,2%
2020-06-17,MANALI,10,642,6,1%
2020-06-17,MADHAVARAM,12,561,6,1%
2020-06-17,TONDIARPET,33,1398,120,9%
2020-06-17,ROYAPURAM,46,1815,146,8%
2020-06-17,THIRU VI KA NAGAR,40,3195,30,1%
2020-06-17,AMBATTUR,26,1108,4,0%
2020-06-17,ANNA NAGAR,43,2468,83,3%
2020-06-17,TEYNAMPET,48,2501,59,2%
2020-06-17,KODAMBAKKAM,37,2131,63,3%
2020-06-17,VALASARAVAKKAM,34,2251,37,2%
2020-06-17,ALANDUR,26,2482,8,0%
2020-06-17,ADYAR,33,2382,27,1%
2020-06-17,PERUNGUDI,28,2058,15,1%
2020-06-17,SOZHINGANALLUR,25,2010,54,3%
2020-06-18,THIRUVOTTIYUR,16,767,14,2%
2020-06-18,MANALI,13,1047,15,1%
2020-06-18,MADHAVARAM,14,763,7,1%
2020-06-18,TONDIARPET,36,1481,130,9%
2020-06-18,ROYAPURAM,49,2144,133,6%
2020-06-18,THIRU VI KA NAGAR,41,2917,47,2%
2020-06-18,AMBATTUR,34,1761,7,0%
2020-06-18,ANNA NAGAR,64,3673,84,2%
2020-06-18,TEYNAMPET,53,3077,47,2%
2020-06-18,KODAMBAKKAM,47,2866,73,3%
2020-06-18,VALASARAVAKKAM,35,2678,32,1%
2020-06-18,ALANDUR,30,2714,23,1%
2020-06-18,ADYAR,20,1546,16,1%
2020-06-18,PERUNGUDI,36,2270,24,1%
2020-06-18,SOZHINGANALLUR,25,1805,37,2%
2020-06-19,THIRUVOTTIYUR,18,861,10,1%
2020-06-19,MANALI,12,1152,15,1%
2020-06-19,MADHAVARAM,18,1171,15,1%
2020-06-19,TONDIARPET,36,1391,115,8%
2020-06-19,ROYAPURAM,54,2296,147,6%
2020-06-19,THIRU VI KA NAGAR,39,3168,53,2%
2020-06-19,AMBATTUR,34,1992,31,2%
2020-06-19,ANNA NAGAR,58,3467,181,5%
2020-06-19,TEYNAMPET,52,3171,56,2%
2020-06-19,KODAMBAKKAM,42,2826,79,3%
2020-06-19,VALASARAVAKKAM,34,2725,46,2%
2020-06-19,ALANDUR,33,2439,15,1%
2020-06-19,ADYAR,40,2988,53,2%
2020-06-19,PERUNGUDI,32,2438,19,1%
2020-06-19,SOZHINGANALLUR,25,1754,65,4%
2020-06-20,THIRUVOTTIYUR,24,1574,51,3%
2020-06-20,MANALI,11,1129,24,2%
2020-06-20,MADHAVARAM,15,1286,15,1%
2020-06-20,TONDIARPET,38,1615,161,10%
